view	factor	feature	weight
transcriptome	Factor5	Solyc09g064500.3	1.08358085155487
transcriptome	Factor5	Solyc12g009200.2	0.992878377437592
transcriptome	Factor5	Solyc06g073260.3	0.956566572189331
transcriptome	Factor5	Solyc07g065900.3	0.948227405548096
transcriptome	Factor5	Solyc11g009020.2	0.942236423492432
transcriptome	Factor5	Solyc08g007040.3	0.941264629364014
transcriptome	Factor5	Solyc07g005370.4	0.941071450710297
transcriptome	Factor5	Solyc12g094640.3	0.934544146060944
transcriptome	Factor5	Solyc10g054870.3	0.90962415933609
transcriptome	Factor5	Solyc02g085950.4	0.907808125019073
transcriptome	Factor4	Solyc10g081980.2	0.888735592365265
transcriptome	Factor4	Solyc08g078190.2	0.877314150333405
transcriptome	Factor4	Solyc10g055800.2	0.869788348674774
transcriptome	Factor4	Solyc09g091670.3	0.868102133274078
transcriptome	Factor4	Solyc09g092330.3	-0.858289122581482
transcriptome	Factor3	Solyc10g084150.2	0.849842369556427
transcriptome	Factor4	Solyc12g005940.2	0.849424302577972
transcriptome	Factor4	Solyc01g106620.2	0.847717642784119
transcriptome	Factor5	Solyc12g096570.1	-0.840648591518402
transcriptome	Factor4	Solyc11g012360.2	0.834949612617493
transcriptome	Factor4	Solyc02g087070.4	0.824385106563568
transcriptome	Factor3	Solyc08g078950.3	0.816871106624603
transcriptome	Factor2	Solyc03g007790.3	0.810309052467346
transcriptome	Factor4	Solyc01g087580.3	0.803371489048004
transcriptome	Factor2	Solyc12g013620.2	0.800989151000977
transcriptome	Factor4	Solyc04g071650.4	-0.796659648418427
transcriptome	Factor3	Solyc08g077210.4	-0.796303153038025
transcriptome	Factor2	Solyc01g007950.4	0.795771300792694
transcriptome	Factor3	Solyc01g009430.3	0.794735968112946
transcriptome	Factor4	Solyc01g005870.3	-0.791975378990173
transcriptome	Factor4	Solyc06g072430.3	-0.786552846431732
transcriptome	Factor5	Solyc02g077590.1	-0.786082804203033
transcriptome	Factor4	Solyc05g012660.3	0.785252571105957
transcriptome	Factor4	Solyc06g074420.1	-0.781481266021729
transcriptome	Factor4	Solyc10g080690.2	-0.772897243499756
transcriptome	Factor3	Solyc05g009550.3	-0.769465804100037
transcriptome	Factor4	Solyc05g056120.3	-0.766389191150665
transcriptome	Factor3	Solyc10g080360.1	-0.759910643100739
transcriptome	Factor2	Solyc07g064600.3	0.751120865345001
transcriptome	Factor5	Solyc06g053710.3	-0.751053154468536
transcriptome	Factor5	Solyc05g009340.1	-0.748936533927917
transcriptome	Factor2	Solyc09g065560.3	0.740483343601227
transcriptome	Factor5	Solyc12g036470.2	-0.739162743091583
transcriptome	Factor3	Solyc02g069910.2	-0.738457679748535
transcriptome	Factor5	Solyc02g067580.3	-0.73759651184082
transcriptome	Factor3	Solyc07g008570.3	0.731679916381836
transcriptome	Factor3	Solyc09g008060.4	0.731675505638123
transcriptome	Factor2	Solyc01g099140.4	0.730864584445953
transcriptome	Factor4	Solyc04g082140.3	-0.729979813098907
transcriptome	Factor3	Solyc11g006470.2	0.723766267299652
transcriptome	Factor5	Solyc07g008250.3	-0.723766267299652
transcriptome	Factor3	Solyc02g078450.3	-0.720448613166809
transcriptome	Factor2	Solyc04g080530.3	0.719724953174591
transcriptome	Factor3	Solyc10g008520.3	0.718891859054565
transcriptome	Factor3	Solyc02g089160.3	0.71879643201828
transcriptome	Factor2	Solyc03g096670.3	0.717766463756561
transcriptome	Factor2	Solyc10g009270.3	0.716027796268463
transcriptome	Factor2	Solyc09g064820.1	0.714475750923157
transcriptome	Factor3	Solyc01g079150.4	0.710338771343231
transcriptome	Factor3	Solyc06g076400.3	-0.709697186946869
transcriptome	Factor4	Solyc02g083120.3	-0.706718981266022
transcriptome	Factor3	Solyc03g097380.4	-0.704500138759613
transcriptome	Factor3	Solyc06g072640.1	-0.704375922679901
transcriptome	Factor3	Solyc03g095650.3	-0.701838374137878
transcriptome	Factor5	Solyc02g067800.4	-0.69860452413559
transcriptome	Factor3	Solyc09g092430.3	-0.697535455226898
transcriptome	Factor3	Solyc03g114230.2	0.69491845369339
transcriptome	Factor4	Solyc04g007630.2	-0.679031431674957
transcriptome	Factor5	Solyc08g023510.3	-0.668166756629944
transcriptome	Factor5	Solyc11g008830.2	-0.666452884674072
transcriptome	Factor2	Solyc10g006700.1	-0.594532072544098
transcriptome	Factor1	Solyc05g007880.4	0.591419100761414
transcriptome	Factor1	Solyc04g007800.4	0.590053379535675
transcriptome	Factor1	Solyc03g119080.4	-0.58781498670578
transcriptome	Factor1	Solyc01g066880.3	0.583393454551697
transcriptome	Factor1	Solyc01g087850.2	-0.582137882709503
transcriptome	Factor2	Solyc08g067610.3	-0.581527888774872
transcriptome	Factor1	Solyc06g065040.4	0.580194532871246
transcriptome	Factor1	Solyc08g062220.3	-0.580118954181671
transcriptome	Factor1	Solyc08g082130.3	0.579190194606781
transcriptome	Factor1	Solyc10g083340.3	0.578405201435089
transcriptome	Factor1	Solyc08g077300.3	0.577717840671539
transcriptome	Factor1	Solyc07g045180.4	0.57699728012085
transcriptome	Factor1	Solyc01g009760.3	0.576973676681519
transcriptome	Factor1	Solyc07g045460.3	0.575183570384979
transcriptome	Factor1	Solyc04g054950.3	-0.572797894477844
transcriptome	Factor1	Solyc05g050120.3	-0.571808934211731
transcriptome	Factor1	Solyc11g007030.3	-0.570671856403351
transcriptome	Factor1	Solyc02g068300.3	-0.57014524936676
transcriptome	Factor1	Solyc05g005150.1	-0.56908506155014
transcriptome	Factor1	Solyc08g061970.3	-0.568289875984192
transcriptome	Factor1	Solyc04g007790.3	-0.568029820919037
transcriptome	Factor2	Solyc01g087070.4	-0.549977719783783
transcriptome	Factor2	Solyc12g087870.2	-0.545025944709778
transcriptome	Factor2	Solyc02g062890.3	-0.537619054317474
transcriptome	Factor2	Solyc04g078410.4	-0.533400416374207
transcriptome	Factor2	Solyc10g006660.3	-0.533331513404846
transcriptome	Factor2	Solyc05g013450.4	-0.502660870552063
transcriptome	Factor2	Solyc07g056210.4	-0.495899438858032
transcriptome	Factor2	Solyc02g089640.3	-0.483662307262421
microbiome_ITS	Factor2	ASV007_microbiome_ITS	0.451478481292725
microbiome_ITS	Factor2	ASV017	0.451478481292725
microbiome_ITS	Factor2	ASV045	0.451478481292725
microbiome_ITS	Factor2	ASV053	0.451478481292725
microbiome_16S	Factor1	ASV004_microbiome_16S	-0.367327868938446
microbiome_16S	Factor1	ASV003_microbiome_16S	-0.354398846626282
microbiome_16S	Factor1	ASV024_microbiome_16S	-0.319061994552612
microbiome_16S	Factor1	ASV022_microbiome_16S	-0.317251801490784
microbiome_16S	Factor1	ASV057_microbiome_16S	-0.311978757381439
microbiome_16S	Factor1	ASV154	-0.310032725334167
microbiome_16S	Factor1	ASV009_microbiome_16S	0.304024159908295
microbiome_16S	Factor1	ASV060_microbiome_16S	-0.302110314369202
microbiome_16S	Factor1	ASV183	-0.299148947000504
microbiome_16S	Factor1	ASV021_microbiome_16S	-0.294955641031265
microbiome_16S	Factor1	ASV049_microbiome_16S	-0.289346635341644
microbiome_16S	Factor1	ASV030_microbiome_16S	0.2586490213871
microbiome_16S	Factor1	ASV039_microbiome_16S	0.25092425942421
microbiome_16S	Factor1	ASV052_microbiome_16S	0.250044763088226
microbiome_16S	Factor1	ASV033_microbiome_16S	0.248849332332611
microbiome_ITS	Factor5	ASV011_microbiome_ITS	0.216961771249771
microbiome_16S	Factor1	ASV054_microbiome_16S	0.209926679730415
microbiome_16S	Factor1	ASV458	0.1990105509758
microbiome_16S	Factor1	ASV294	0.197956874966621
microbiome_16S	Factor2	ASV471	0.197696074843407
microbiome_ITS	Factor5	ASV005_microbiome_ITS	-0.19559870660305
microbiome_16S	Factor1	ASV181	0.188509002327919
microbiome_16S	Factor1	ASV106	0.185449078679085
microbiome_16S	Factor2	ASV284	0.182398915290833
microbiome_16S	Factor2	ASV415	0.182398915290833
microbiome_16S	Factor2	ASV427	0.182398915290833
microbiome_16S	Factor2	ASV468	0.182398915290833
microbiome_16S	Factor2	ASV480	0.182398915290833
microbiome_16S	Factor2	ASV484	0.182398915290833
microbiome_16S	Factor2	ASV513	0.182398915290833
microbiome_ITS	Factor2	ASV046_microbiome_ITS	0.17538857460022
microbiome_ITS	Factor2	ASV050	-0.175205126404762
microbiome_ITS	Factor5	ASV059_microbiome_ITS	-0.173820197582245
microbiome_ITS	Factor2	ASV014_microbiome_ITS	-0.173505738377571
microbiome_ITS	Factor5	ASV028	0.169402822852135
microbiome_ITS	Factor2	ASV021_microbiome_ITS	0.152964845299721
microbiome_ITS	Factor5	ASV037_microbiome_ITS	0.152674466371536
microbiome_ITS	Factor5	ASV003_microbiome_ITS	-0.152249157428741
microbiome_ITS	Factor2	ASV004_microbiome_ITS	0.149661734700203
microbiome_ITS	Factor4	ASV009_microbiome_ITS	-0.145297154784203
microbiome_ITS	Factor2	ASV022_microbiome_ITS	-0.139289751648903
microbiome_ITS	Factor5	ASV008_microbiome_ITS	-0.13348451256752
microbiome_ITS	Factor5	ASV067	-0.13348451256752
microbiome_16S	Factor2	ASV391	0.13292433321476
microbiome_16S	Factor4	ASV311	0.132603347301483
microbiome_ITS	Factor2	ASV034_microbiome_ITS	-0.132069289684296
microbiome_ITS	Factor2	ASV029_microbiome_ITS	0.128208041191101
microbiome_ITS	Factor5	ASV050	-0.128185227513313
microbiome_ITS	Factor2	ASV051_microbiome_ITS	0.127340212464333
microbiome_16S	Factor3	ASV004_microbiome_16S	-0.126971527934074
microbiome_ITS	Factor5	ASV013_microbiome_ITS	-0.126242905855179
microbiome_ITS	Factor2	ASV024_microbiome_ITS	-0.124318532645702
microbiome_16S	Factor4	ASV086	0.124211326241493
microbiome_ITS	Factor2	ASV035_microbiome_ITS	0.123709797859192
microbiome_16S	Factor2	ASV080	0.123677849769592
microbiome_ITS	Factor1	ASV003_microbiome_ITS	-0.122828483581543
microbiome_16S	Factor4	ASV117	0.122453160583973
microbiome_ITS	Factor2	ASV015_microbiome_ITS	-0.122049234807491
microbiome_ITS	Factor4	ASV025	-0.118809908628464
microbiome_ITS	Factor5	ASV023	0.118098296225071
microbiome_ITS	Factor5	ASV006_microbiome_ITS	-0.117223806679249
microbiome_ITS	Factor4	ASV017	0.11170406639576
microbiome_ITS	Factor4	ASV045	0.11170406639576
microbiome_ITS	Factor4	ASV053	0.11170406639576
microbiome_ITS	Factor4	ASV007_microbiome_ITS	0.111704044044018
microbiome_ITS	Factor2	ASV066	-0.1099833548069
microbiome_ITS	Factor5	ASV029_microbiome_ITS	-0.108362011611462
microbiome_16S	Factor4	ASV179	0.107959590852261
microbiome_ITS	Factor4	ASV018_microbiome_ITS	-0.107817932963371
microbiome_16S	Factor4	ASV030_microbiome_16S	0.106650218367577
microbiome_16S	Factor4	ASV327	0.106151834130287
microbiome_16S	Factor4	ASV272	0.104570686817169
microbiome_ITS	Factor5	ASV019_microbiome_ITS	0.10409078001976
microbiome_16S	Factor4	ASV191	0.103510349988937
microbiome_ITS	Factor5	ASV043	0.101426467299461
microbiome_16S	Factor4	ASV049_microbiome_16S	0.101251013576984
microbiome_ITS	Factor4	ASV059_microbiome_ITS	0.101143702864647
microbiome_ITS	Factor2	ASV055_microbiome_ITS	-0.100618235766888
microbiome_ITS	Factor4	ASV037_microbiome_ITS	-0.0987959653139114
microbiome_16S	Factor4	ASV254	0.0967217832803726
microbiome_ITS	Factor4	ASV004_microbiome_ITS	0.0962235108017921
microbiome_ITS	Factor5	ASV054_microbiome_ITS	-0.0958657488226891
microbiome_ITS	Factor5	ASV068	0.0930109694600105
microbiome_ITS	Factor2	ASV001	-0.0899572893977165
microbiome_ITS	Factor2	ASV023	-0.0878549441695213
microbiome_ITS	Factor4	ASV008_microbiome_ITS	-0.086952731013298
microbiome_ITS	Factor4	ASV067	-0.086952731013298
microbiome_ITS	Factor4	ASV015_microbiome_ITS	-0.0869036838412285
microbiome_16S	Factor2	ASV086	-0.0859226733446121
microbiome_16S	Factor3	ASV154	0.0833076909184456
microbiome_ITS	Factor4	ASV022_microbiome_ITS	-0.0827367082238197
microbiome_ITS	Factor1	ASV005_microbiome_ITS	-0.0811677053570747
microbiome_ITS	Factor5	ASV017	0.0810324400663376
microbiome_ITS	Factor5	ASV045	0.0810324400663376
microbiome_ITS	Factor5	ASV053	0.0810324400663376
microbiome_16S	Factor3	ASV183	0.0806812271475792
microbiome_16S	Factor2	ASV130	-0.0783224776387215
microbiome_ITS	Factor1	ASV027	0.0782537758350372
microbiome_ITS	Factor1	ASV048_microbiome_ITS	0.0752414464950562
microbiome_16S	Factor3	ASV003_microbiome_16S	-0.0747013092041016
microbiome_16S	Factor3	ASV080	0.0744562521576881
microbiome_ITS	Factor4	ASV023	-0.0734876170754433
microbiome_16S	Factor2	ASV193	-0.0728595852851868
microbiome_16S	Factor2	ASV303	-0.0723656788468361
microbiome_ITS	Factor4	ASV019_microbiome_ITS	-0.0722442418336868
microbiome_16S	Factor2	ASV418	-0.070326916873455
microbiome_16S	Factor5	ASV105	-0.0701699107885361
microbiome_16S	Factor3	ASV202	0.0695151835680008
microbiome_ITS	Factor1	ASV018_microbiome_ITS	0.0684171840548515
microbiome_16S	Factor4	ASV372	-0.0680792778730392
microbiome_ITS	Factor1	ASV016	0.0676687136292458
microbiome_ITS	Factor1	ASV029_microbiome_ITS	0.067581944167614
microbiome_ITS	Factor1	ASV013_microbiome_ITS	-0.0665777027606964
microbiome_ITS	Factor4	ASV066	0.0665594562888145
microbiome_16S	Factor2	ASV196	-0.0663262903690338
microbiome_ITS	Factor1	ASV059_microbiome_ITS	0.0660218521952629
microbiome_16S	Factor5	ASV057_microbiome_16S	-0.0654175654053688
microbiome_ITS	Factor4	ASV002	0.0644499436020851
microbiome_ITS	Factor4	ASV011_microbiome_ITS	0.0642027258872986
microbiome_16S	Factor3	ASV057_microbiome_16S	0.0630839243531227
microbiome_16S	Factor3	ASV141	0.0608810409903526
microbiome_16S	Factor3	ASV274	0.0607598014175892
microbiome_16S	Factor3	ASV262	-0.0602300651371479
microbiome_16S	Factor3	ASV147	0.0599173121154308
microbiome_16S	Factor2	ASV179	-0.059662900865078
microbiome_16S	Factor3	ASV338	0.0596249848604202
microbiome_ITS	Factor1	ASV068	0.0595772564411163
microbiome_16S	Factor3	ASV233	0.0592042170464993
microbiome_16S	Factor2	ASV076_microbiome_16S	-0.059163324534893
microbiome_ITS	Factor4	ASV012_microbiome_ITS	0.058376882225275
microbiome_16S	Factor5	ASV221	0.0579907521605492
microbiome_16S	Factor2	ASV477	-0.0577001459896564
microbiome_16S	Factor2	ASV005_microbiome_16S	-0.0562403127551079
microbiome_16S	Factor5	ASV460	-0.0553472861647606
microbiome_16S	Factor5	ASV400	0.0546882562339306
microbiome_16S	Factor5	ASV436	0.0546882562339306
microbiome_16S	Factor5	ASV527	0.0546882562339306
microbiome_16S	Factor5	ASV538	0.0546882562339306
microbiome_16S	Factor5	ASV060_microbiome_16S	-0.0546297058463097
microbiome_16S	Factor3	ASV071_microbiome_16S	-0.0542935244739056
microbiome_ITS	Factor1	ASV055_microbiome_ITS	-0.0538867115974426
microbiome_16S	Factor5	ASV003_microbiome_16S	-0.0535633452236652
microbiome_16S	Factor4	ASV112	-0.0532507039606571
microbiome_16S	Factor4	ASV283	-0.0532507039606571
microbiome_16S	Factor4	ASV446	-0.0532507039606571
microbiome_16S	Factor4	ASV493	-0.0532507039606571
microbiome_16S	Factor5	ASV412	0.0513902902603149
microbiome_16S	Factor4	ASV054_microbiome_16S	-0.0513896979391575
microbiome_ITS	Factor1	ASV021_microbiome_ITS	0.0512840189039707
microbiome_16S	Factor4	ASV005_microbiome_16S	-0.0510500892996788
microbiome_16S	Factor3	ASV054_microbiome_16S	-0.0505665801465511
microbiome_16S	Factor4	ASV091	-0.0496726334095001
microbiome_16S	Factor3	ASV221	-0.0496349893510342
microbiome_ITS	Factor1	ASV066	-0.0490956790745258
microbiome_16S	Factor5	ASV252	-0.0481771044433117
microbiome_16S	Factor5	ASV030_microbiome_16S	-0.0481333322823048
microbiome_16S	Factor5	ASV008_microbiome_16S	-0.0480172261595726
microbiome_16S	Factor4	ASV041_microbiome_16S	-0.0473494604229927
microbiome_16S	Factor5	ASV476	0.0471688620746136
microbiome_16S	Factor3	ASV241	-0.0464670099318027
microbiome_16S	Factor4	ASV238	-0.0454407259821892
microbiome_16S	Factor5	ASV005_microbiome_16S	0.0450675897300243
microbiome_16S	Factor3	ASV102	-0.0447543747723103
microbiome_16S	Factor3	ASV217	-0.0447543747723103
microbiome_16S	Factor3	ASV292	-0.0447543747723103
microbiome_ITS	Factor1	ASV006_microbiome_ITS	-0.0443820394575596
microbiome_16S	Factor5	ASV032_microbiome_16S	0.0438673086464405
microbiome_16S	Factor5	ASV020_microbiome_16S	-0.0435120351612568
microbiome_16S	Factor5	ASV021_microbiome_16S	-0.042018786072731
microbiome_ITS	Factor1	ASV015_microbiome_ITS	0.0418595597147942
microbiome_ITS	Factor1	ASV020_microbiome_ITS	0.0416468903422356
microbiome_16S	Factor5	ASV080	0.0397701896727085
microbiome_ITS	Factor1	ASV004_microbiome_ITS	-0.0370449982583523
microbiome_ITS	Factor1	ASV051_microbiome_ITS	-0.0359799861907959
microbiome_ITS	Factor1	ASV050	-0.0316306762397289
microbiome_ITS	Factor1	ASV007_microbiome_ITS	-0.0277251731604338
microbiome_ITS	Factor3	ASV043	-0.0252524446696043
microbiome_ITS	Factor3	ASV029_microbiome_ITS	-0.0252266097813845
microbiome_ITS	Factor3	ASV017	-0.0236308313906193
microbiome_ITS	Factor3	ASV045	-0.0236308313906193
microbiome_ITS	Factor3	ASV053	-0.0236308313906193
microbiome_ITS	Factor3	ASV007_microbiome_ITS	-0.0236308295279741
microbiome_ITS	Factor3	ASV058_microbiome_ITS	-0.0213929507881403
microbiome_ITS	Factor3	ASV046_microbiome_ITS	0.0187974069267511
microbiome_ITS	Factor3	ASV011_microbiome_ITS	0.0181179717183113
microbiome_ITS	Factor3	ASV054_microbiome_ITS	-0.0177801195532084
microbiome_ITS	Factor3	ASV003_microbiome_ITS	0.0158047992736101
microbiome_ITS	Factor3	ASV004_microbiome_ITS	-0.015087747015059
microbiome_ITS	Factor3	ASV055_microbiome_ITS	0.0149461412802339
microbiome_ITS	Factor3	ASV068	0.0147599251940846
microbiome_ITS	Factor3	ASV048_microbiome_ITS	0.0127491522580385
microbiome_ITS	Factor3	ASV037_microbiome_ITS	-0.011637787334621
microbiome_ITS	Factor3	ASV066	0.0102506363764405
microbiome_ITS	Factor3	ASV015_microbiome_ITS	0.00953506678342819
microbiome_ITS	Factor3	ASV021_microbiome_ITS	0.00930660124868155
microbiome_ITS	Factor3	ASV014_microbiome_ITS	0.00877094641327858
