function	n_taxa	total_reads	representative_taxa
aerobic_chemoheterotrophy	185	787792	Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Burkholderiaceae*Burkholderia-Caballeronia-Paraburkholderia; Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Burkholderiaceae*Burkholderia-Caballeronia-Paraburkholderia; Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Burkholderiaceae*Ralstonia
Roseospira*mediosalina*	31	195623	Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methylobacterium-Methylorubrum; Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Rhizobiaceae*Mesorhizobium; Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methylobacterium-Methylorubrum
nitrogen_fixation	12	164614	Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Rhizobiaceae*Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; Bacteria*Proteobacteria*Alphaproteobacteria*Azospirillales*Azospirillaceae*Azospirillum; Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Xanthobacteraceae*Bradyrhizobium
dark_hydrogen_oxidation	20	103694	Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Xanthobacteraceae*Bradyrhizobium; Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Xanthobacteraceae*Bradyrhizobium; Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Xanthobacteraceae*Afipia
methanol_oxidation	15	96687	Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methylobacterium-Methylorubrum; Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methylobacterium-Methylorubrum; Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methylobacterium-Methylorubrum
methanotrophy	15	96514	Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methylobacterium-Methylorubrum; Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methylobacterium-Methylorubrum; Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methylobacterium-Methylorubrum
ureolysis	5	42634	Bacteria*Proteobacteria*Alphaproteobacteria*Azospirillales*Azospirillaceae*Azospirillum; Bacteria*Proteobacteria*Alphaproteobacteria*Azospirillales*Azospirillaceae*Azospirillum; Bacteria*Proteobacteria*Alphaproteobacteria*Azospirillales*Azospirillaceae*Azospirillum
cyanobacteria	7	42203	Bacteria*Cyanobacteria*Vampirivibrionia*Obscuribacterales*Obscuribacteraceae*Candidatus Obscuribacter; Bacteria*Cyanobacteria*Sericytochromatia; Bacteria*Cyanobacteria*Vampirivibrionia*Obscuribacterales*Obscuribacteraceae
human_pathogens_all	6	24245	Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Xanthobacteraceae*Afipia; Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae*Aquabacterium; Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae*Aquabacterium
fermentation	18	17835	Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Erwiniaceae*Pantoea; Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Promicromonosporaceae*Cellulosimicrobium; Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae
human_pathogens_pneumonia	3	11028	Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae*Aquabacterium; Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae*Aquabacterium; Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter*lwoffii
nitrate_respiration	2	10964	Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae*Aquabacterium; Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae*Aquabacterium
photoheterotrophy	3	5161	Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Xanthobacteraceae*Rhodopseudomonas; Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Xanthobacteraceae*Rhodoplanes; Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Xanthobacteraceae*Rhodopseudomonas
predatory_or_exoparasitic	3	5062	Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Burkholderiaceae*Cupriavidus*metallidurans; Bacteria*Myxococcota*Polyangia*Haliangiales*Haliangiaceae*Haliangium; Bacteria*Myxococcota*Polyangia*Haliangiales*Haliangiaceae*Haliangium
intracellular_parasites	3	3673	Bacteria*Proteobacteria*Gammaproteobacteria*Legionellales*Legionellaceae*Legionella; Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales*Candidatus Jidaibacter; Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales*Candidatus Jidaibacter
nitrate_reduction	9	3352	Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Burkholderiaceae*Cupriavidus*metallidurans; Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Intrasporangiaceae*Knoellia*flava; Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Microbacteriaceae*Humibacter
cellulolysis	1	1186	Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Promicromonosporaceae*Cellulosimicrobium
nitrate_denitrification	2	731	Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Xanthobacteraceae*Rhodoplanes; Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*Paracoccus
chitinolysis	2	677	Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Xanthomonadaceae*Lysobacter; Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales*Xanthomonadaceae*Lysobacter
animal_parasites_or_symbionts	8	513	Bacteria*Actinobacteriota*Actinobacteria*Frankiales*Geodermatophilaceae*Geodermatophilus*daqingensis; Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter; Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter*lwoffii
anoxygenic_photoautotrophy_S_oxidizing	1	377	Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Xanthobacteraceae*Rhodoplanes
aromatic_compound_degradation	5	318	Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter; Bacteria*Actinobacteriota*Actinobacteria*Propionibacteriales*Nocardioidaceae*Nocardioides*marinus; Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter*lwoffii
aliphatic_non_methane_hydrocarbon_degradation	2	277	Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales*Nocardiaceae*Rhodococcus; Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter*lwoffii
manganese_oxidation	2	261	Bacteria*Actinobacteriota*Actinobacteria*Frankiales*Geodermatophilaceae*Geodermatophilus*daqingensis; Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter*lwoffii
aromatic_hydrocarbon_degradation	1	213	Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales*Nocardiaceae*Rhodococcus
dark_oxidation_of_sulfur_compounds	2	205	Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Bosea; Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Bosea
Methylobacterium*mesophilicum*	1	64	Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter*lwoffii
human_pathogens_nosocomia	1	64	Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Acinetobacter*lwoffii
Bacteroides*thetaiotaomicron*	2	56	Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Moraxellaceae*Enhydrobacter*aerosaccus; Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Family XI*Finegoldia*magna
