"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","tissue","module","n_genes_in_module"
"GO:0020037","heme binding","110/1160","193/3282",0.569948186528497,1.6125603001608,6.48452198882339,2.08226155485635e-10,1.08937659870796e-08,9.29493596857243e-09,"Solyc10g076220/Solyc01g067860/Solyc12g044954/Solyc01g067870/Solyc07g052510/Solyc04g083140/Solyc12g005370/Solyc02g084780/Solyc05g052280/Solyc02g084790/Solyc05g046010/Solyc07g047740/Solyc08g013930/Solyc10g078220/Solyc02g092580/Solyc01g101050/Solyc02g087070/Solyc02g082090/Solyc07g052370/Solyc04g078340/Solyc10g076190/Solyc02g087090/Solyc01g009370/Solyc04g078270/Solyc07g017880/Solyc01g105070/Solyc11g072920/Solyc03g112030/Solyc10g076240/Solyc10g007900/Solyc10g076210/Solyc12g017870/Solyc06g066230/Solyc01g008640/Solyc03g006700/Solyc02g084800/Solyc05g047530/Solyc12g042480/Solyc09g072700/Solyc05g046020/Solyc10g076245/Solyc06g083440/Solyc02g062510/Solyc06g076160/Solyc10g007890/Solyc03g112040/Solyc06g082420/Solyc03g033710/Solyc12g045020/Solyc01g009410/Solyc07g055560/Solyc06g150137/Solyc07g043460/Solyc03g044100/Solyc01g096670/Solyc10g050890/Solyc08g074260/Solyc02g090470/Solyc10g007960/Solyc04g078290/Solyc07g055350/Solyc12g006460/Solyc05g021390/Solyc09g008910/Solyc09g092600/Solyc09g098030/Solyc06g061023/Solyc02g064970/Solyc11g013810/Solyc05g010330/Solyc10g051020/Solyc09g066400/Solyc04g071780/Solyc04g080760/Solyc05g011940/Solyc07g019510/Solyc06g050440/Solyc02g092250/Solyc10g078240/Solyc09g092640/Solyc12g006860/Solyc07g049240/Solyc08g079420/Solyc08g069040/Solyc02g014730/Solyc07g006140/Solyc11g039570/Solyc04g071890/Solyc01g109150/Solyc11g063610/Solyc02g079500/Solyc02g092860/Solyc11g042420/Solyc03g111970/Solyc12g089370/Solyc09g098770/Solyc07g014670/Solyc04g054258/Solyc07g150149/Solyc06g076800/Solyc07g052540/Solyc07g062500/Solyc06g074180/Solyc02g094180/Solyc03g006810/Solyc06g082730/Solyc04g078140/Solyc10g007880/Solyc09g098010/Solyc02g090340",110,"Adv-Root","turquoise",1768
"GO:0000786","nucleosome","28/1160","31/3282",0.903225806451613,2.55550611790879,6.43285120022439,2.39950792666951e-10,1.08937659870796e-08,9.29493596857243e-09,"Solyc10g008910/Solyc11g073260/Solyc01g074000/Solyc01g080600/Solyc01g086820/Solyc11g066430/Solyc06g074790/Solyc02g077480/Solyc12g056540/Solyc01g086800/Solyc01g079110/Solyc01g099410/Solyc12g011455/Solyc06g084090/Solyc06g075850/Solyc06g075830/Solyc11g073250/Solyc11g007930/Solyc03g071620/Solyc06g074780/Solyc06g075930/Solyc05g054610/Solyc09g074300/Solyc04g011390/Solyc11g072860/Solyc01g073970/Solyc02g038690/Solyc06g005430",28,"Adv-Root","turquoise",1768
"GO:0030527","structural constituent of chromatin","28/1160","31/3282",0.903225806451613,2.55550611790879,6.43285120022439,2.39950792666951e-10,1.08937659870796e-08,9.29493596857243e-09,"Solyc10g008910/Solyc11g073260/Solyc01g074000/Solyc01g080600/Solyc01g086820/Solyc11g066430/Solyc06g074790/Solyc02g077480/Solyc12g056540/Solyc01g086800/Solyc01g079110/Solyc01g099410/Solyc12g011455/Solyc06g084090/Solyc06g075850/Solyc06g075830/Solyc11g073250/Solyc11g007930/Solyc03g071620/Solyc06g074780/Solyc06g075930/Solyc05g054610/Solyc09g074300/Solyc04g011390/Solyc11g072860/Solyc01g073970/Solyc02g038690/Solyc06g005430",28,"Adv-Root","turquoise",1768
"GO:0046982","protein heterodimerization activity","29/1160","33/3282",0.878787878787879,2.48636363636364,6.34405013083389,5.04227186767701e-10,1.90765952327113e-08,1.62768074325012e-08,"Solyc10g008910/Solyc11g073260/Solyc01g074000/Solyc01g080600/Solyc01g086820/Solyc11g066430/Solyc06g074790/Solyc02g077480/Solyc12g056540/Solyc01g086800/Solyc01g079110/Solyc01g099410/Solyc12g011455/Solyc06g084090/Solyc06g075850/Solyc06g075830/Solyc11g073250/Solyc11g007930/Solyc03g071620/Solyc06g074780/Solyc06g075930/Solyc05g054610/Solyc01g067130/Solyc09g074300/Solyc04g011390/Solyc11g072860/Solyc01g073970/Solyc02g038690/Solyc06g005430",29,"Adv-Root","turquoise",1768
"GO:0006979","response to oxidative stress","47/1160","65/3282",0.723076923076923,2.04580901856764,6.29568442404558,9.74411773200437e-10,3.15987817880713e-08,2.6961167859982e-08,"Solyc10g076220/Solyc01g067860/Solyc01g067870/Solyc07g052510/Solyc12g005370/Solyc02g084780/Solyc05g052280/Solyc02g084790/Solyc05g046010/Solyc07g047740/Solyc08g013930/Solyc02g092580/Solyc01g101050/Solyc02g087070/Solyc02g082090/Solyc10g076190/Solyc02g087090/Solyc07g017880/Solyc01g105070/Solyc11g072920/Solyc10g076240/Solyc10g076210/Solyc12g017870/Solyc03g006700/Solyc02g084800/Solyc09g072700/Solyc05g046020/Solyc10g076245/Solyc02g062510/Solyc06g082420/Solyc03g033710/Solyc01g009410/Solyc03g044100/Solyc02g090470/Solyc02g064970/Solyc05g010330/Solyc04g080760/Solyc06g050440/Solyc07g049240/Solyc08g069040/Solyc11g039570/Solyc04g071890/Solyc02g079500/Solyc12g089370/Solyc07g052540/Solyc02g094180/Solyc03g006810",47,"Adv-Root","turquoise",1768
"GO:0004364","glutathione transferase activity","27/1160","32/3282",0.84375,2.38723060344828,5.82963534740834,1.366455249957e-08,3.87731677175298e-07,3.30826007884326e-07,"Solyc09g011520/Solyc09g011510/Solyc09g011630/Solyc09g011590/Solyc01g081250/Solyc07g056420/Solyc09g011500/Solyc07g056480/Solyc09g011550/Solyc07g056470/Solyc07g056500/Solyc07g056440/Solyc07g056510/Solyc10g084960/Solyc10g084400/Solyc09g011560/Solyc06g069040/Solyc09g011650/Solyc12g097080/Solyc09g011490/Solyc09g091130/Solyc01g081270/Solyc09g007150/Solyc02g068900/Solyc10g007635/Solyc03g116120/Solyc05g006750",27,"Adv-Root","turquoise",1768
"GO:0006749","glutathione metabolic process","24/1160","29/3282",0.827586206896552,2.34149821640904,5.36421883750057,1.9189640887173e-07,4.84005386820918e-06,4.12970049501734e-06,"Solyc09g011520/Solyc09g011510/Solyc09g011630/Solyc09g011590/Solyc01g081250/Solyc07g056420/Solyc09g011500/Solyc07g056480/Solyc09g011550/Solyc07g056470/Solyc07g056500/Solyc07g056440/Solyc07g056510/Solyc10g084960/Solyc09g011560/Solyc06g069040/Solyc09g011650/Solyc12g097080/Solyc09g011490/Solyc09g091130/Solyc01g081270/Solyc10g007635/Solyc03g116120/Solyc05g006750",24,"Adv-Root","turquoise",1768
"GO:0009055","electron transfer activity","20/1160","29/3282",0.689655172413793,1.9512485136742,3.80373610175541,0.000221989804693374,0.00397751690774694,0.00339375428252,"Solyc01g090120/Solyc10g037880/Solyc01g108360/Solyc12g005710/Solyc11g006910/Solyc01g108350/Solyc02g094050/Solyc05g054900/Solyc03g116700/Solyc07g150103/Solyc10g050730/Solyc07g008130/Solyc07g008140/Solyc07g052660/Solyc10g050690/Solyc11g042420/Solyc12g005200/Solyc07g008420/Solyc05g055280/Solyc01g104400",20,"Adv-Root","turquoise",1768
"GO:0008061","chitin binding","10/1160","11/3282",0.909090909090909,2.57210031347962,3.86096393421544,0.000222060697973881,0.00397751690774694,0.00339375428252,"Solyc07g009510/Solyc10g055820/Solyc07g005100/Solyc01g097280/Solyc07g009500/Solyc10g055800/Solyc10g055810/Solyc04g072000/Solyc10g074440/Solyc07g005110",10,"Adv-Root","turquoise",1768
"GO:0005576","extracellular region","21/1160","31/3282",0.67741935483871,1.91662958843159,3.7907544561963,0.000227787311897402,0.00397751690774694,0.00339375428252,"Solyc01g106620/Solyc09g006005/Solyc01g106605/Solyc08g077900/Solyc08g077910/Solyc08g077330/Solyc01g106600/Solyc04g081870/Solyc08g080060/Solyc09g007010/Solyc09g007020/Solyc06g049050/Solyc06g051800/Solyc08g007780/Solyc10g083580/Solyc07g006710/Solyc02g092120/Solyc02g088100/Solyc02g092110/Solyc07g063210/Solyc05g052250",21,"Adv-Root","turquoise",1768
"GO:0016788","hydrolase activity, acting on ester bonds","21/1160","31/3282",0.67741935483871,1.91662958843159,3.7907544561963,0.000227787311897402,0.00397751690774694,0.00339375428252,"Solyc06g065530/Solyc06g065010/Solyc06g064980/Solyc11g066700/Solyc12g049550/Solyc03g121170/Solyc03g115960/Solyc11g011110/Solyc06g064960/Solyc03g005910/Solyc01g099050/Solyc03g019670/Solyc02g078910/Solyc02g071700/Solyc01g099030/Solyc02g071690/Solyc11g051060/Solyc10g008810/Solyc02g090210/Solyc04g050730/Solyc01g099020",21,"Adv-Root","turquoise",1768
"GO:0016491","oxidoreductase activity","65/1160","129/3282",0.503875968992248,1.42562149157979,3.64599307260277,0.000248196729766573,0.00402433268978658,0.00343369911857515,"Solyc12g100250/Solyc08g074682/Solyc12g100240/Solyc08g074680/Solyc12g045035/Solyc12g100270/Solyc04g054950/Solyc08g074683/Solyc04g040130/Solyc12g094460/Solyc07g049460/Solyc08g068190/Solyc02g030480/Solyc01g096420/Solyc02g086180/Solyc02g070110/Solyc11g011340/Solyc02g079750/Solyc02g078650/Solyc08g074690/Solyc11g011330/Solyc06g083470/Solyc02g070130/Solyc02g070090/Solyc01g103390/Solyc03g098100/Solyc01g090180/Solyc01g096430/Solyc10g050890/Solyc04g072280/Solyc01g099620/Solyc10g011810/Solyc06g082260/Solyc02g080670/Solyc06g075570/Solyc11g010990/Solyc11g013810/Solyc02g085110/Solyc06g065060/Solyc03g096660/Solyc02g070200/Solyc09g075870/Solyc01g091320/Solyc09g009390/Solyc05g025680/Solyc02g079440/Solyc06g076760/Solyc02g079480/Solyc09g059040/Solyc05g052370/Solyc08g081690/Solyc02g094160/Solyc02g069690/Solyc08g083280/Solyc06g005750/Solyc03g058430/Solyc02g024050/Solyc02g069250/Solyc10g081440/Solyc06g050530/Solyc07g052240/Solyc06g082240/Solyc06g048860/Solyc11g071580/Solyc09g011140",65,"Adv-Root","turquoise",1768
"GO:0008194","UDP-glycosyltransferase activity","36/1160","63/3282",0.571428571428571,1.61674876847291,3.65407533952802,0.000295810243907103,0.00447659502446083,0.00381958490378295,"Solyc06g072880/Solyc07g006800/Solyc04g016230/Solyc06g072870/Solyc01g107780/Solyc09g092500/Solyc03g071850/Solyc12g042600/Solyc07g043170/Solyc01g107820/Solyc12g057080/Solyc05g053400/Solyc07g043480/Solyc02g081690/Solyc06g076550/Solyc05g052870/Solyc08g006330/Solyc12g057070/Solyc11g066680/Solyc10g085880/Solyc08g062220/Solyc09g092480/Solyc04g079030/Solyc03g078490/Solyc04g074390/Solyc11g010780/Solyc10g009580/Solyc11g066670/Solyc10g085860/Solyc04g014990/Solyc12g009930/Solyc12g006430/Solyc09g008510/Solyc04g016210/Solyc05g005930/Solyc12g098580",36,"Adv-Root","turquoise",1768
"GO:0004867","serine-type endopeptidase inhibitor activity","13/1160","17/3282",0.764705882352941,2.16359026369168,3.55584127318801,0.000636464122942587,0.00902983474424796,0.00770456569877869,"Solyc03g020050/Solyc07g054720/Solyc03g020030/Solyc03g020060/Solyc08g080630/Solyc10g086090/Solyc06g061210/Solyc03g020080/Solyc11g021060/Solyc11g020960/Solyc10g086100/Solyc03g020070/Solyc06g069400",13,"Adv-Root","turquoise",1768
"GO:0003824","catalytic activity","41/1160","79/3282",0.518987341772152,1.46837625491052,3.11522461687781,0.00166394710937756,0.0199471512214776,0.0170195957558631,"Solyc08g066890/Solyc06g073583/Solyc12g099260/Solyc10g007110/Solyc04g082030/Solyc02g083730/Solyc10g011925/Solyc01g095080/Solyc09g007910/Solyc09g064940/Solyc08g014240/Solyc03g042560/Solyc10g007290/Solyc04g014510/Solyc10g086180/Solyc03g043880/Solyc02g085100/Solyc01g099910/Solyc06g053520/Solyc02g087780/Solyc02g032860/Solyc06g053510/Solyc04g072800/Solyc04g077240/Solyc01g091330/Solyc09g007130/Solyc08g080130/Solyc02g078570/Solyc02g085180/Solyc11g011380/Solyc07g062810/Solyc10g008200/Solyc12g096240/Solyc11g011300/Solyc02g080640/Solyc11g007730/Solyc04g054710/Solyc04g014730/Solyc02g087770/Solyc01g109720/Solyc12g088220",41,"Adv-Root","turquoise",1768
"GO:0004864","protein phosphatase inhibitor activity","6/1160","6/3282",1,2.82931034482759,3.31551112126022,0.0019332040831388,0.0199471512214776,0.0170195957558631,"Solyc09g091000/Solyc09g090990/Solyc12g096960/Solyc09g090970/Solyc05g054380/Solyc09g090980",6,"Adv-Root","turquoise",1768
"GO:0009738","abscisic acid-activated signaling pathway","6/1160","6/3282",1,2.82931034482759,3.31551112126022,0.0019332040831388,0.0199471512214776,0.0170195957558631,"Solyc09g091000/Solyc09g090990/Solyc12g096960/Solyc09g090970/Solyc05g054380/Solyc09g090980",6,"Adv-Root","turquoise",1768
"GO:0010427","abscisic acid binding","6/1160","6/3282",1,2.82931034482759,3.31551112126022,0.0019332040831388,0.0199471512214776,0.0170195957558631,"Solyc09g091000/Solyc09g090990/Solyc12g096960/Solyc09g090970/Solyc05g054380/Solyc09g090980",6,"Adv-Root","turquoise",1768
"GO:0030570","pectate lyase activity","6/1160","6/3282",1,2.82931034482759,3.31551112126022,0.0019332040831388,0.0199471512214776,0.0170195957558631,"Solyc02g093580/Solyc09g091430/Solyc03g111690/Solyc05g014000/Solyc09g061890/Solyc03g071570",6,"Adv-Root","turquoise",1768
"GO:0038023","signaling receptor activity","6/1160","6/3282",1,2.82931034482759,3.31551112126022,0.0019332040831388,0.0199471512214776,0.0170195957558631,"Solyc09g091000/Solyc09g090990/Solyc12g096960/Solyc09g090970/Solyc05g054380/Solyc09g090980",6,"Adv-Root","turquoise",1768
"GO:0004497","monooxygenase activity","56/1160","119/3282",0.470588235294118,1.33144016227181,2.72262882196019,0.00486538705883181,0.0478877762291444,0.0408594983823908,"Solyc12g044954/Solyc04g083140/Solyc10g078220/Solyc07g052370/Solyc04g078340/Solyc01g009370/Solyc04g078270/Solyc03g112030/Solyc10g007900/Solyc06g066230/Solyc01g008640/Solyc05g047530/Solyc12g042480/Solyc06g076160/Solyc10g007890/Solyc03g112040/Solyc12g045020/Solyc07g055560/Solyc06g150137/Solyc07g043460/Solyc01g096670/Solyc08g074260/Solyc10g007960/Solyc04g078290/Solyc07g055350/Solyc12g006460/Solyc05g021390/Solyc09g008910/Solyc09g092600/Solyc09g098030/Solyc06g061023/Solyc10g051020/Solyc09g066400/Solyc04g071780/Solyc05g011940/Solyc02g092250/Solyc10g078240/Solyc09g092640/Solyc12g006860/Solyc08g079420/Solyc02g014730/Solyc07g006140/Solyc01g109150/Solyc02g092860/Solyc03g111970/Solyc09g098770/Solyc07g014670/Solyc04g054258/Solyc07g150149/Solyc06g076800/Solyc07g062500/Solyc06g074180/Solyc06g082730/Solyc10g007880/Solyc09g098010/Solyc02g090340",56,"Adv-Root","turquoise",1768
"GO:0005975","carbohydrate metabolic process","51/1160","107/3282",0.476635514018692,1.3485497905253,2.70984387484157,0.00514219806357626,0.0478877762291444,0.0408594983823908,"Solyc10g079860/Solyc01g059965/Solyc01g060020/Solyc10g055820/Solyc07g005100/Solyc10g055800/Solyc08g083210/Solyc05g050130/Solyc02g082920/Solyc10g055810/Solyc08g081480/Solyc04g072000/Solyc08g044510/Solyc02g014220/Solyc12g007270/Solyc09g075070/Solyc06g064620/Solyc10g074440/Solyc10g083290/Solyc03g116580/Solyc07g064870/Solyc12g007250/Solyc08g082250/Solyc10g083300/Solyc02g085100/Solyc07g005110/Solyc02g061770/Solyc02g087780/Solyc11g040340/Solyc08g060970/Solyc02g086700/Solyc08g079080/Solyc01g094970/Solyc12g007260/Solyc07g009380/Solyc09g008320/Solyc01g087280/Solyc11g069270/Solyc01g081610/Solyc11g011300/Solyc03g116500/Solyc12g096750/Solyc02g084720/Solyc05g007260/Solyc11g008820/Solyc02g087770/Solyc04g016330/Solyc01g079570/Solyc06g062580/Solyc02g070450/Solyc09g010090",51,"Adv-Root","turquoise",1768
"GO:0008483","transaminase activity","5/1160","5/3282",1,2.82931034482759,3.02617188325134,0.00548494353285354,0.0478877762291444,0.0408594983823908,"Solyc10g007110/Solyc10g008200/Solyc12g096240/Solyc04g054710/Solyc11g044840",5,"Adv-Root","turquoise",1768
"GO:0033897","ribonuclease T2 activity","5/1160","5/3282",1,2.82931034482759,3.02617188325134,0.00548494353285354,0.0478877762291444,0.0408594983823908,"Solyc07g006560/Solyc05g007940/Solyc05g007950/Solyc07g006570/Solyc04g005640",5,"Adv-Root","turquoise",1768
"GO:0016746","acyltransferase activity","5/109","14/3282",0.357142857142857,10.7536041939712,6.77749880616134,5.81145766746671e-05,0.00368646456810055,0.00291036676428991,"Solyc05g053550/Solyc09g091510/Solyc02g063140/Solyc05g013220/Solyc02g085870",5,"Adv-Root","magenta",133
"GO:0010333","terpene synthase activity","5/109","16/3282",0.3125,9.40940366972477,6.24882596399965,0.000120210801133714,0.00368646456810055,0.00291036676428991,"Solyc07g051940/Solyc06g059930/Solyc08g005710/Solyc01g105850/Solyc08g005670",5,"Adv-Root","magenta",133
"GO:0016114","terpenoid biosynthetic process","5/109","16/3282",0.3125,9.40940366972477,6.24882596399965,0.000120210801133714,0.00368646456810055,0.00291036676428991,"Solyc07g051940/Solyc06g059930/Solyc08g005710/Solyc01g105850/Solyc08g005670",5,"Adv-Root","magenta",133
"GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups","5/109","23/3282",0.217391304347826,6.54567211806941,4.9460357906781,0.000768753622339658,0.0176813333138121,0.0139589473530096,"Solyc05g053550/Solyc09g091510/Solyc02g063140/Solyc05g013220/Solyc02g085870",5,"Adv-Root","magenta",133
"GO:0016829","lyase activity","4/109","15/3282",0.266666666666667,8.02935779816514,5.05670991095504,0.00118424577936138,0.0217901223402495,0.0172027281633548,"Solyc07g051940/Solyc06g059930/Solyc08g005710/Solyc01g105850",4,"Adv-Root","magenta",133
"GO:0005506","iron ion binding","12/109","137/3282",0.0875912408759124,2.63738029866738,3.62811335392275,0.00166551159920696,0.0222368843168339,0.0175554349869741,"Solyc11g066580/Solyc01g088430/Solyc04g150164/Solyc09g092580/Solyc09g092620/Solyc01g094130/Solyc10g080840/Solyc04g071800/Solyc04g054220/Solyc10g080870/Solyc03g115220/Solyc08g014190",12,"Adv-Root","magenta",133
"GO:0004497","monooxygenase activity","11/109","119/3282",0.092436974789916,2.78328579138077,3.67219861207811,0.00169193685019389,0.0222368843168339,0.0175554349869741,"Solyc11g066580/Solyc04g150164/Solyc09g092580/Solyc09g092620/Solyc01g094130/Solyc10g080840/Solyc04g071800/Solyc04g054220/Solyc10g080870/Solyc03g115220/Solyc08g014190",11,"Adv-Root","magenta",133
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","11/109","121/3282",0.0909090909090909,2.7372810675563,3.60854272921363,0.00193766970739528,0.0222832016350457,0.0175920012908256,"Solyc11g066580/Solyc04g150164/Solyc09g092580/Solyc09g092620/Solyc01g094130/Solyc10g080840/Solyc04g071800/Solyc04g054220/Solyc10g080870/Solyc03g115220/Solyc08g014190",11,"Adv-Root","magenta",133
"GO:0006633","fatty acid biosynthetic process","3/109","10/3282",0.3,9.03302752293578,4.71469861161941,0.00360666799435664,0.0368681617200901,0.029106443463229,"Solyc02g063140/Solyc05g013220/Solyc02g085870",3,"Adv-Root","magenta",133
"GO:0004143","ATP-dependent diacylglycerol kinase activity","4/272","5/3282",0.8,9.65294117647059,5.81989101821788,0.000216016680247786,0.0100668142093087,0.00887161105349113,"Solyc03g115370/Solyc06g009270/Solyc05g056420/Solyc07g054830",4,"Adv-Root","brown",439
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","4/272","5/3282",0.8,9.65294117647059,5.81989101821788,0.000216016680247786,0.0100668142093087,0.00887161105349113,"Solyc03g115370/Solyc06g009270/Solyc05g056420/Solyc07g054830",4,"Adv-Root","brown",439
"GO:0003924","GTPase activity","7/272","17/3282",0.411764705882353,4.96842560553633,4.93066424888389,0.000234111958356016,0.0100668142093087,0.00887161105349113,"Solyc01g088560/Solyc08g077360/Solyc03g025730/Solyc08g078070/Solyc09g056340/Solyc01g109110/Solyc01g095970",7,"Adv-Root","brown",439
"GO:0005509","calcium ion binding","11/272","46/3282",0.239130434782609,2.88539002557545,3.87061685938316,0.000997275558891874,0.0282491193086115,0.0248951847028156,"Solyc03g118090/Solyc04g082000/Solyc02g094000/Solyc11g071740/Solyc11g071760/Solyc08g007160/Solyc07g062700/Solyc06g150132/Solyc06g073830/Solyc10g081170/Solyc10g079890",11,"Adv-Root","brown",439
"GO:0003700","DNA-binding transcription factor activity","30/272","204/3282",0.147058823529412,1.77443771626298,3.43298251114254,0.00109492710498494,0.0282491193086115,0.0248951847028156,"Solyc06g035700/Solyc04g051360/Solyc08g007830/Solyc02g090770/Solyc01g108240/Solyc07g042230/Solyc08g080290/Solyc08g007820/Solyc08g076010/Solyc02g090400/Solyc03g116890/Solyc10g050970/Solyc08g007840/Solyc01g095100/Solyc05g050560/Solyc08g066660/Solyc01g096120/Solyc02g084680/Solyc06g066540/Solyc10g011910/Solyc06g150130/Solyc06g054630/Solyc01g096050/Solyc05g052410/Solyc11g042560/Solyc03g082840/Solyc06g009640/Solyc02g084630/Solyc05g050830/Solyc08g083170",30,"Adv-Root","brown",439
"GO:0005618","cell wall","7/272","23/3282",0.304347826086957,3.67231457800512,3.86557085355752,0.00191092294102231,0.0308136324239848,0.0271552207408434,"Solyc05g005680/Solyc03g031800/Solyc03g093130/Solyc03g093080/Solyc02g080160/Solyc07g055990/Solyc03g093120",7,"Adv-Root","brown",439
